ID,bmi,groesse,gewicht,geschlecht
1,25.23853493,1.71,73.8,m
2,25.27922692,1.69,72.2,m
3,23.12138728,1.73,69.2,m
4,28.77563122,1.79,92.2,m
5,20.89439262,1.84,71.1,m
6,27.2057367,1.98,106.4,m
7,31.2816625,1.63,82.8,m
8,21.36476306,1.63,56.4,m
9,32.18444712,1.72,94.8,m
10,28.46053847,1.75,87.3,m
11,22.27539937,1.8,71.8,m
12,26.88552991,1.9,96.7,m
13,22.64441281,1.76,70.2,m
14,23.56301786,1.69,67.3,m
15,23.34844149,1.79,74.6,m
16,31.48256049,1.65,85.7,m
17,25.33100056,1.74,76.6,m
18,30.45117718,1.94,114.6,m
19,27.10705581,1.96,103.9,m
20,28.03214957,1.72,82.6,m
21,30.3166012,1.72,89.9,m
22,35.24675998,1.57,87,m
23,19.21728215,1.85,65.8,m
24,26.80019832,1.89,96.1,m
25,24.97004482,1.71,72.7,m
26,30.49272049,1.55,89.4,w
27,24.44908281,1.59,69.8,w
28,27.19841556,1.63,81.7,w
29,20.82425894,1.7,66.6,w
30,32.31442599,1.57,110,w
31,27.20536032,1.55,106.4,w
32,20.81458966,1.63,55.1,w
33,25.49310302,1.59,67.3,w
34,33.5728653,1.75,98.9,w
35,30.87083379,1.57,94.7,w
36,26.27062448,1.66,84.7,w
37,36.60711377,1.6,131.6,w
38,29.79445777,1.69,92.4,w
39,29.64617345,1.65,84.7,w
40,24.01586188,1.83,76.7,w
41,27.21862068,1.67,74.1,w
42,27.41241608,1.62,82.9,w
43,28.97185992,1.59,109,w
44,23.45196146,1.66,89.9,w
45,28.73138453,1.7,84.6,w
46,29.28484831,1.64,86.8,w
47,24.67489823,1.6,60.9,w
48,26.46407378,1.62,90.6,w
49,15.96600562,1.81,57.2,w
50,23.63314312,1.68,68.8,w
51,25.15857375,1.71,60.3,m
52,25.28779795,1.69,63.6,m
53,23.04142192,1.73,61.3,m
54,28.8448564,1.79,82.9,m
55,20.89439262,1.84,51.6,m
56,27.2057367,1.98,65.2,m
57,31.2816625,1.63,82.9,m
58,21.36476306,1.63,53.7,m
59,32.18444712,1.72,98.2,m
60,28.46053847,1.75,70.3,m
61,22.27539937,1.8,61.1,m
62,26.88552991,1.9,69,m
63,22.64441281,1.76,64.7,m
64,23.56301786,1.69,64,m
65,23.34844149,1.79,77.9,m
66,31.48256049,1.65,87.6,m
67,25.33100056,1.74,66.5,m
68,30.45117718,1.94,76.8,m
69,27.10705581,1.96,75,m
70,28.03214957,1.72,80.7,m
71,30.3166012,1.72,81.4,m
72,35.24675998,1.57,90.4,m
73,19.21728215,1.85,50.4,m
74,26.80019832,1.89,87.7,m
75,24.97004482,1.71,70.7,m
76,30.49272049,1.55,73.1,w
77,24.44908281,1.59,61.5,w
78,27.19841556,1.63,72.3,w
79,20.82425894,1.7,59.9,w
80,32.31442599,1.57,79.8,w
81,27.20536032,1.55,65.2,w
82,20.81458966,1.63,55.2,w
83,25.49310302,1.59,64.1,w
84,33.5728653,1.75,102.4,w
85,30.87083379,1.57,76.3,w
86,26.27062448,1.66,72,w
87,36.60711377,1.6,93.9,w
88,29.79445777,1.69,85.2,w
89,29.64617345,1.65,80.5,w
90,24.01586188,1.83,80.1,w
91,27.21862068,1.67,75.8,w
92,27.41241608,1.62,72,w
93,28.97185992,1.59,73.1,w
94,23.45196146,1.66,64.9,w
95,28.73138453,1.7,82.7,w
96,29.28484831,1.64,78.6,w
97,24.67489823,1.6,63.3,w
98,26.46407378,1.62,69.4,w
99,15.96600562,1.81,52.2,w
100,23.63314312,1.68,66.9,w
